"","Fgroup","head_tail","participant","N","d","sd"
"1","creeping","head","1",7,0.0309065452516447,0.347388469448569
"2","creeping","head","2",7,-1.81504006304612,0.41022100798222
"3","creeping","head","3",7,0.0791986739004604,0.95894226518102
"4","creeping","head","4",7,-0.633343699849288,0.992530258892685
"5","creeping","head","5",7,-0.822139411027043,0.245043733746079
"6","creeping","head","6",7,-1.23445297997398,0.720561119089027
"7","creeping","head","7",7,0.408490574945112,0.602473439136435
"8","creeping","head","8",7,0.79728266038181,0.43725591847553
"9","creeping","tail","1",8,-0.272184177375331,0.367542169310245
"10","creeping","tail","2",8,-0.253544845904306,1.44043475751404
"11","creeping","tail","3",8,-0.630266268911558,0.492043167866803
"12","creeping","tail","4",8,-0.298344026016047,1.07981617620518
"13","creeping","tail","5",8,-0.554818165254022,0.526119359183751
"14","creeping","tail","6",8,-1.2893469749425,0.620711854421725
"15","creeping","tail","7",8,0.649157720865903,0.540373898069791
"16","creeping","tail","8",8,1.00119360368276,0.481976298282809
"17","success","head","1",7,-0.220188041596358,0.395076806892226
"18","success","head","2",7,-1.16195904690767,0.459479626493145
"19","success","head","3",7,-1.02353612814905,0.344265299446932
"20","success","head","4",7,-0.194318392577026,0.767790888649971
"21","success","head","5",7,-1.27500291635428,0.319249289264543
"22","success","head","6",7,-1.58341905389486,0.448227143763688
"23","success","head","7",7,-0.648458808206512,0.743602266299146
"24","success","head","8",7,-0.540641613067866,0.418029772667276
"25","success","head","9",7,-1.5797421369145,0.42879168401701
"26","success","head","10",7,-0.785225636451567,0.424338506042867
"27","success","head","11",7,-1.35014540469832,0.418105624925019
"28","success","tail","1",8,0.0349776170226507,0.813049463540866
"29","success","tail","2",8,0.240172458170696,1.00897427129517
"30","success","tail","3",3,2.95409578844103,0.621322940202746
"31","success","tail","4",8,0.136163526031894,0.659432895781322
"32","success","tail","5",8,-0.49893220521453,0.109161729815874
"33","success","tail","6",8,-1.21118628863159,0.193046839576964
"34","success","tail","7",8,0.685717783823738,0.516107880592888
"35","success","tail","8",8,0.166579599823265,0.317162223449753
"36","success","tail","9",8,-1.03796268123439,0.410155947612489
"37","success","tail","10",8,-0.293686177156199,0.502166050749311
"38","success","tail","11",8,-1.33337759587026,0.244623017085141
