Time,acc_x,acc_y,acc_x,fx,fy,fz
0,0.00220516,-0.0755509,0.0670572,-0.868449,3.09278,-0.112623
0.0007,0.00340797,-0.0755509,0.0686258,-0.868449,2.33,-0.265339
0.0013,0.00340797,-0.0766875,0.0693316,-0.868449,2.17745,-0.265339
0.002,0.00260609,-0.0789813,0.0678415,-0.563305,2.94023,0.345076
0.0027,0.00260609,-0.0797459,0.0674493,-0.715815,2.78767,0.345076
0.0033,0.00300703,-0.0805105,0.0690179,-1.02096,2.33,-0.112623
0.004,0.00340797,-0.0816471,0.0701159,-0.715815,2.94023,-0.265339
0.0047,0.00300703,-0.0828043,0.0709002,-0.868449,3.24534,-0.570773
0.0053,0.00260609,-0.0843128,0.0712924,-1.32623,2.94023,-0.418056
0.006,0.00220516,-0.0850774,0.0716845,-1.32623,2.48256,0.0396432
0.0067,0.00187104,-0.0847055,0.0712924,-0.410671,2.78767,0.19236
0.0073,0.00187104,-0.0850774,0.0697238,-0.410671,2.94023,-0.112623
0.008,0.000735052,-0.085842,0.0682336,-1.02096,2.94023,-0.265339
0.0087,-0.00120281,-0.0866066,0.0670572,-0.715815,3.24534,-0.265339
0.0093,-0.0023388,-0.0881358,0.066665,-0.715815,2.78767,-0.418056
0.01,-0.0023388,-0.0885285,0.0678415,-1.02096,2.48256,-0.112623
0.0107,-0.00193786,-0.0885285,0.0674493,-1.17359,2.78767,-0.418056
0.0113,-0.0023388,-0.0885285,0.066665,-1.32623,2.63512,-0.875755
0.012,-0.00307385,-0.0885285,0.0674493,-1.02096,2.78767,-0.418056
0.0127,-0.00387573,-0.0885285,0.0670572,-1.02096,2.94023,-0.418056
0.0133,-0.00501172,-0.089665,0.066665,-1.17359,2.94023,-0.723039
0.014,-0.00654864,-0.0908016,0.0670572,-0.868449,3.09278,-0.723039
0.0147,-0.00728369,-0.0908016,0.0674493,-1.17359,2.78767,-0.875755
0.0153,-0.00768463,-0.0915662,0.0678415,-1.32623,2.78767,-0.418056
0.016,-0.00955567,-0.0923308,0.0682336,-1.02096,3.09278,0.19236
0.0167,-0.0103575,-0.0923308,0.0690179,-1.17359,2.94023,0.0396432
0.0173,-0.0103575,-0.0923308,0.0682336,-1.17359,2.78767,-0.265339
0.018,-0.0126295,-0.0927234,0.0674493,-1.02096,2.78767,-0.418056
0.0187,-0.0145674,-0.0927234,0.066665,-0.868449,3.24534,-0.418056
0.0193,-0.0149015,-0.0927234,0.065567,-1.02096,3.3979,-0.418056
0.02,-0.0153024,-0.0930954,0.065567,-1.47874,2.94023,-0.723039
0.0207,-0.0157034,-0.0930954,0.0651749,-1.32623,2.78767,-0.723039
0.0213,-0.0161043,-0.0927234,0.0639984,-1.17359,3.09278,-0.723039
0.022,-0.0157034,-0.0923308,0.0643906,-1.17359,2.94023,-0.875755
0.0227,-0.0157034,-0.0908016,0.0647827,-1.17359,2.63512,-0.723039
0.0233,-0.0161043,-0.090037,0.0643906,-1.02096,2.94023,-0.723039
0.024,-0.0161043,-0.089665,0.0639984,-1.02096,3.24534,-0.875755
0.0247,-0.0164384,-0.0885285,0.0632926,-1.17359,2.94023,-0.723039
0.0253,-0.0164384,-0.0873712,0.061724,-1.02096,2.94023,0.0396432
0.026,-0.0157034,-0.085842,0.060626,-1.02096,3.24534,-0.112623
0.0267,-0.0149015,-0.0843128,0.0594495,-1.32623,2.94023,-1.02847
0.0273,-0.0134314,-0.0824117,0.0594495,-1.02096,3.24534,-0.875755
0.028,-0.0118945,-0.0805105,0.0590574,-0.868449,3.55077,-0.265339
0.0287,-0.0110926,-0.0786093,0.0579594,-1.02096,2.94023,-0.418056
0.0293,-0.0103575,-0.0774521,0.0567829,-1.32623,2.48256,-0.875755
0.03,-0.00955567,-0.0755509,0.0563908,-1.32623,2.63512,-1.18074
0.0307,-0.00922156,-0.0736497,0.0563908,-0.868449,3.3979,-0.723039
0.0313,-0.00882062,-0.0717279,0.0549006,-1.02096,3.3979,-0.265339
0.032,-0.00808557,-0.0690621,0.053332,-1.32623,2.94023,-0.570773
0.0327,-0.00808557,-0.0675329,0.0525477,-1.02096,3.24534,-0.570773
0.0333,-0.00728369,-0.0652598,0.052234,-1.32623,2.78767,-0.875755
0.034,-0.00694958,-0.0618087,0.0518419,-1.32623,2.48256,-1.02847
0.0347,-0.00728369,-0.059143,0.0506654,-1.02096,3.09278,-0.723039
0.0353,-0.00694958,-0.0572418,0.049489,-1.47874,2.94023,-0.723039
0.036,-0.00654864,-0.0553406,0.0487831,-1.63137,2.78767,-0.875755
0.0367,-0.00614771,-0.0526542,0.0476067,-1.32623,3.09278,-0.875755
0.0373,-0.00614771,-0.050753,0.0465087,-1.17359,3.24534,-0.723039
0.038,-0.00694958,-0.0492238,0.0472145,-1.63137,3.09278,-0.570773
0.0387,-0.00808557,-0.04693,0.0472145,-1.63137,2.94023,-0.723039
0.0393,-0.00768463,-0.0450288,0.0457244,-1.32623,3.24534,-0.570773
0.04,-0.00768463,-0.0431277,0.0449401,-1.47874,3.09278,-0.875755
0.0407,-0.00841968,-0.0412265,0.0445479,-1.32623,2.94023,-1.02847
0.0413,-0.00728369,-0.0389327,0.0438421,-1.32623,2.94023,-1.02847
0.042,-0.00614771,-0.0366389,0.0418813,-1.78401,2.63512,-1.18074
0.0427,-0.00541265,-0.0347377,0.0407833,-1.47874,2.78767,-0.875755
0.0433,-0.00427666,-0.0332085,0.0407833,-1.47874,2.78767,-0.723039
0.044,-0.00307385,-0.0316793,0.039999,-1.78401,2.78767,-0.418056
0.0447,-0.00193786,-0.0297781,0.0384304,-1.32623,2.94023,-0.418056
0.0453,-0.00193786,-0.0278563,0.0373324,-1.17359,2.94023,-0.723039
0.046,-0.00193786,-0.0259551,0.0369403,-1.63137,2.78767,-0.875755
0.0467,-0.00120281,-0.024054,0.0377246,-1.93652,2.94023,-0.570773
0.0473,-0.000801875,-0.0225248,0.0373324,-1.47874,2.78767,-0.418056
0.048,-6.68229E-05,-0.0213882,0.0365481,-1.32623,2.78767,-0.570773
0.0487,0.0014701,-0.019859,0.036156,-1.93652,2.78767,-1.02847
0.0493,0.00260609,-0.0179371,0.036156,-1.93652,2.94023,-1.02847
0.05,0.00300703,-0.016036,0.0357638,-1.47874,3.09278,-0.723039
0.0507,0.00300703,-0.015664,0.0346658,-1.47874,3.09278,-0.875755
0.0513,0.00260609,-0.0148994,0.035058,-1.47874,2.94023,-0.723039
0.052,0.00187104,-0.0133702,0.0365481,-1.78401,2.48256,-1.02847
0.0527,0.00106917,-0.0126056,0.0369403,-2.08915,2.02489,-1.18074
0.0533,-6.68229E-05,-0.011469,0.036156,-1.47874,2.63512,-0.570773
0.054,-0.00120281,-0.0103118,0.0365481,-1.17359,2.94023,-0.418056
0.0547,-0.00160375,-0.00954719,0.0381167,-1.63137,2.78767,-0.875755
0.0553,-0.00160375,-0.00878259,0.0384304,-1.47874,2.78767,-0.875755
0.056,-0.00193786,-0.00841062,0.0381167,-1.78401,2.48256,-0.875755
0.0567,-0.00273974,-0.00803865,0.0384304,-2.08915,2.33,-0.723039
0.0573,-0.00461078,-0.00764602,0.0384304,-1.93652,2.48256,-0.723039
0.058,-0.00541265,-0.00650945,0.0388226,-1.32623,2.94023,-0.570773
0.0587,-0.00501172,-0.00458761,0.0396069,-1.32623,2.78767,-0.570773
0.0593,-0.00541265,-0.00382301,0.0392147,-1.47874,2.48256,-0.723039
0.06,-0.00654864,-0.00382301,0.0388226,-0.868449,2.78767,-0.875755
0.0607,-0.00654864,-0.00268644,0.0388226,-1.32623,2.48256,-1.02847
0.0613,-0.00654864,-0.00154987,0.0381167,-1.78401,2.48256,-1.02847
0.062,-0.00654864,-0.00154987,0.0381167,-1.02096,3.09278,-0.418056
0.0627,-0.00654864,-0.00154987,0.0392147,-1.47874,2.63512,-0.723039
