"","participant","phase","day","group","N","slope","sd","first_result","second_result","Fgroup"
"1","1","1",1,"20",50,-5.32818921398784,0.580066196525093,"F","F>0","creeping"
"2","1","1",2,"20",50,-4.47467571960204,1.03872074713922,"F","F>0","creeping"
"3","1","1",3,"20",50,-3.06728995859262,1.1939676607889,"F","F>0","creeping"
"4","1","1",4,"20",50,-3.37916164599238,0.661522054237293,"F","F>0","creeping"
"5","1","1",5,"20",50,-2.53581745846782,0.580866234633188,"F","F>0","creeping"
"6","1","1",6,"20",50,-2.77554172667986,0.598069027198478,"F","F>0","creeping"
"7","1","1",7,"20",50,-3.0742535332164,0.610589691056474,"F","F>0","creeping"
"8","1","1",8,"20",50,-2.27785073870722,0.678138716199032,"F","F>0","creeping"
"9","1","1",9,"20",50,-1.91756998315438,0.449828736568252,"F","F>0","creeping"
"10","1","1",10,"20",50,-1.58802039258781,0.501998429482758,"F","F>0","creeping"
"11","1","1",11,"20",50,-1.30471676674648,0.696571582711355,"F","F>0","creeping"
"12","1","1",12,"20",50,-0.63871870750172,0.884618865892888,"F","F>0","creeping"
"13","1","1",13,"20",50,0.273402978562421,0.690739986125294,"F","F>0","creeping"
"14","1","2",1,"20",50,-2.76500941932396,0.511927168714277,"F","F>0","creeping"
"15","1","2",2,"20",50,-2.64648046776277,0.416439635817147,"F","F>0","creeping"
"16","1","2",3,"20",50,-1.99341011329983,0.261732696798346,"F","F>0","creeping"
"17","1","2",4,"20",50,-1.99911473495488,0.321019829173961,"F","F>0","creeping"
"18","1","2",5,"20",50,-2.2674502122741,0.306644649334637,"F","F>0","creeping"
"19","1","2",6,"20",50,-2.09544930694592,0.544064805573872,"F","F>0","creeping"
"20","1","2",7,"20",50,-1.96815007635241,0.310322927391418,"F","F>0","creeping"
"21","1","2",8,"20",50,-1.94807059492988,0.271170979614482,"F","F>0","creeping"
"22","1","2",9,"20",50,-2.00437834062542,0.213194087220618,"F","F>0","creeping"
"23","1","2",10,"20",50,-2.18116299153967,0.313176375662981,"F","F>0","creeping"
"24","1","2",11,"20",50,-2.12167399755495,0.250425648843435,"F","F>0","creeping"
"25","1","2",12,"20",50,-2.1432646156508,0.314399975292835,"F","F>0","creeping"
"26","1","2",13,"20",50,-1.88416494151927,0.325021466697393,"F","F>0","creeping"
"27","1","2",14,"20",50,-1.93477933380329,0.509175153358602,"F","F>0","creeping"
"28","1","2",15,"20",50,-1.91328568008687,0.236879278139706,"F","F>0","creeping"
"29","2","1",1,"20",50,-1.52877841544046,0.967277081018218,"T","F<0","success"
"30","2","1",2,"20",50,-1.02348014297724,0.600786087303394,"T","F<0","success"
"31","2","1",3,"20",50,-1.28642345293644,1.02377081902145,"T","F<0","success"
"32","2","1",4,"20",50,1.6620259022235,1.24085748940934,"T","F<0","success"
"33","2","1",5,"20",50,1.66507763797982,1.38079318694925,"T","F<0","success"
"34","2","1",6,"20",50,1.17346219875793,1.02491680814711,"T","F<0","success"
"35","2","1",7,"20",50,1.61065566715317,0.732275648806047,"T","F<0","success"
"36","2","1",8,"20",50,2.388051770433,0.69247591527364,"T","F<0","success"
"37","2","1",9,"20",50,2.36400063309755,0.731504586997076,"T","F<0","success"
"38","2","2",1,"20",50,-0.917610884923744,1.02296307131578,"T","F<0","success"
"39","2","2",2,"20",50,-0.539909157276001,1.10173808561157,"T","F<0","success"
"40","2","2",3,"20",50,0.0132449689519529,1.60150079904064,"T","F<0","success"
"41","2","2",4,"20",50,-0.231803573448129,1.06576250209818,"T","F<0","success"
"42","2","2",5,"20",50,0.170063029502759,0.904710614229469,"T","F<0","success"
"43","2","2",6,"20",50,0.154002004672525,0.874439932238166,"T","F<0","success"
"44","2","2",7,"20",50,-0.189302678653865,0.834252831681896,"T","F<0","success"
"45","2","2",8,"20",50,-0.863616520793443,0.738690133821834,"T","F<0","success"
"46","2","2",9,"20",50,-0.000383573035867076,0.809985818391949,"T","F<0","success"
"47","2","2",10,"20",50,-0.185946180172923,1.19154016382086,"T","F<0","success"
"48","2","2",11,"20",50,1.73116863423149,1.03074523488317,"T","F<0","success"
"49","2","2",12,"20",50,0.295211392014258,0.92026694919889,"T","F<0","success"
"50","2","2",13,"20",50,-0.167944467997782,0.731549634956225,"T","F<0","success"
"51","2","2",14,"20",50,-0.814188152410678,0.849156426590423,"T","F<0","success"
"52","2","2",15,"20",50,0.285519804346151,1.05700856728288,"T","F<0","success"
"53","3","1",1,"20",50,0.4898864455529,1.2053014544389,"T","F<0","success"
"54","3","1",2,"20",50,2.39652798773024,0.739366567026892,"T","F<0","success"
"55","3","1",3,"20",50,1.53454882525484,1.01933976795422,"T","F<0","success"
"56","3","1",4,"20",50,2.11092279600514,0.945333767843231,"T","F<0","success"
"57","3","1",5,"20",50,1.43341403850856,1.4332472213656,"T","F<0","success"
"58","3","1",6,"20",50,2.60833468593932,0.500141536593948,"T","F<0","success"
"59","3","1",7,"20",50,1.74526027149834,1.1413246148093,"T","F<0","success"
"60","3","1",8,"20",50,1.86824286541911,0.636297503542253,"T","F<0","success"
"61","3","2",1,"20",50,-1.61493750007578,0.56766801996882,"T","F<0","success"
"62","3","2",2,"20",50,-1.56012280686219,0.570111881110263,"T","F<0","success"
"63","3","2",3,"20",50,-1.62465443202695,0.502534173979023,"T","F<0","success"
"64","3","2",4,"20",50,-1.21488270994226,0.754242615238635,"T","F<0","success"
"65","3","2",5,"20",50,-0.896012204825727,0.728517652819553,"T","F<0","success"
"66","3","2",6,"20",50,-0.542655338445813,1.11698201299375,"T","F<0","success"
"67","3","2",7,"20",50,-0.680448336174936,1.34079836223728,"T","F<0","success"
"68","3","2",8,"20",50,-1.0230922291317,0.963278803915225,"T","F<0","success"
"69","3","2",9,"20",50,-0.808990585521513,1.26562971487439,"T","F<0","success"
"70","3","2",10,"20",50,-0.737883675779508,1.40315350111427,"T","F<0","success"
"71","3","2",11,"20",50,0.253500657068725,1.28864724732576,"T","F<0","success"
"72","3","2",12,"20",50,0.926098642881463,1.10888735044044,"T","F<0","success"
"73","3","2",13,"20",50,0.604607405499202,1.05020798075316,"T","F<0","success"
"74","3","2",14,"20",50,0.911847614327509,1.01685125404439,"T","F<0","success"
"75","3","2",15,"20",50,1.79529183602139,0.678066159446868,"T","F<0","success"
"76","4","1",1,"15",50,0.552532351116294,1.42488033563263,"F","F>0","creeping"
"77","4","1",2,"15",50,-0.756836496707758,0.728853652039594,"F","F>0","creeping"
"78","4","1",3,"15",50,-1.19496697410639,0.49933044352258,"F","F>0","creeping"
"79","4","1",4,"15",50,0.383695366967682,0.955857122911115,"F","F>0","creeping"
"80","4","1",5,"15",50,0.247139799625661,0.861811510455732,"F","F>0","creeping"
"81","4","1",6,"15",50,-1.17424831498359,0.492390237132776,"F","F>0","creeping"
"82","4","1",7,"15",50,-0.692717415979663,0.577225534008587,"F","F>0","creeping"
"83","4","1",8,"15",50,-0.725242253784605,0.489498633826455,"F","F>0","creeping"
"84","4","1",9,"15",50,-0.400429024954454,0.597812868725347,"F","F>0","creeping"
"85","4","1",10,"15",49,-0.503917684198094,0.449884281183496,"F","F>0","creeping"
"86","4","1",11,"15",50,0.229941619047619,0.512929963203042,"F","F>0","creeping"
"87","4","1",12,"15",50,0.530173749538358,0.630080067276124,"F","F>0","creeping"
"88","4","1",13,"15",50,0.267962696734059,0.426644656464739,"F","F>0","creeping"
"89","4","2",1,"15",50,-0.246073400017627,0.608558629718337,"F","F>0","creeping"
"90","4","2",2,"15",50,-0.306786209180935,0.563578295248017,"F","F>0","creeping"
"91","4","2",3,"15",50,0.225487183482253,0.53964362806946,"F","F>0","creeping"
"92","4","2",4,"15",50,0.253574432432432,0.417247850539576,"F","F>0","creeping"
"93","4","2",5,"15",50,0.593935159848229,0.538042585167365,"F","F>0","creeping"
"94","4","2",6,"15",50,-0.328022147586773,0.468244626255146,"F","F>0","creeping"
"95","4","2",7,"15",50,0.0242307977839335,0.352041809222037,"F","F>0","creeping"
"96","4","2",8,"15",50,0.076942,0.292823216912979,"F","F>0","creeping"
"97","4","2",9,"15",50,-0.175312225960524,0.26888709640565,"F","F>0","creeping"
"98","4","2",10,"15",50,-0.124217501616443,0.314832405999539,"F","F>0","creeping"
"99","4","2",11,"15",50,-0.119979607016713,0.339192939538762,"F","F>0","creeping"
"100","4","2",12,"15",50,-0.44203735331164,0.512472981775301,"F","F>0","creeping"
"101","4","2",13,"15",50,0.183589725034771,0.587711978420111,"F","F>0","creeping"
"102","4","2",14,"15",50,-0.79501716949176,0.292215122733567,"F","F>0","creeping"
"103","4","2",15,"15",50,-0.78144128664034,0.276175497199917,"F","F>0","creeping"
"104","5","1",1,"15",50,-1.47445987189564,0.382696665431184,"F","F<0","dead"
"105","5","1",2,"15",50,-1.91710348438035,0.428079073602918,"F","F<0","dead"
"106","5","1",3,"15",50,-2.54049149760681,5.71043219713337,"F","F<0","dead"
"107","5","1",4,"15",50,-1.99169333715207,0.403109381224847,"F","F<0","dead"
"108","5","1",5,"15",50,-2.33042061534703,0.294905685049595,"F","F<0","dead"
"109","5","1",6,"15",50,-2.51423306138952,0.345758585103,"F","F<0","dead"
"110","5","1",7,"15",50,-1.40780737746119,1.25237010733697,"F","F<0","dead"
"111","5","1",8,"15",50,-0.819011996021946,0.890930747828052,"F","F<0","dead"
"112","5","1",9,"15",50,-1.58292223902336,0.636258756625686,"F","F<0","dead"
"113","5","1",10,"15",50,-0.858573227062231,0.803826255978489,"F","F<0","dead"
"114","5","1",11,"15",50,-1.14134975453156,0.82316831637695,"F","F<0","dead"
"115","5","1",12,"15",50,-1.24335075817972,0.546563407388766,"F","F<0","dead"
"116","5","1",13,"15",50,-0.764502182475918,0.765233571578567,"F","F<0","dead"
"117","5","2",1,"15",50,-1.90281074751202,0.257587245808528,"F","F<0","dead"
"118","5","2",2,"15",50,-2.11231178029486,0.362943285562723,"F","F<0","dead"
"119","5","2",3,"15",50,-1.71978858067296,0.406830246234758,"F","F<0","dead"
"120","5","2",4,"15",50,-1.19994324810985,0.504454375922912,"F","F<0","dead"
"121","5","2",5,"15",50,-1.16959227866147,0.356040741059262,"F","F<0","dead"
"122","5","2",6,"15",50,-1.17980233002151,0.326480803906189,"F","F<0","dead"
"123","5","2",7,"15",50,-1.54537380927901,0.334692085735109,"F","F<0","dead"
"124","5","2",8,"15",50,-1.319687830137,0.301302317144858,"F","F<0","dead"
"125","5","2",9,"15",50,-0.624699029802305,0.568421658580403,"F","F<0","dead"
"126","5","2",10,"15",50,-0.687901738966416,0.379526940626864,"F","F<0","dead"
"127","5","2",11,"15",50,-0.874318836088598,0.225823510090406,"F","F<0","dead"
"128","5","2",12,"15",50,-0.785762975787943,0.249648482286086,"F","F<0","dead"
"129","5","2",13,"15",50,-0.9596442834383,0.370698928924145,"F","F<0","dead"
"130","5","2",14,"15",50,-0.854621702414799,0.261578371765782,"F","F<0","dead"
"131","5","2",15,"15",50,-0.830437737455923,0.254339952422386,"F","F<0","dead"
"132","6","1",1,"15",50,-3.19861130169457,0.795079980888145,"F","F<0","dead"
"133","6","1",2,"15",50,-1.73615846921404,0.792150738132686,"F","F<0","dead"
"134","6","1",3,"15",50,-1.41940139831763,0.825386843908309,"F","F<0","dead"
"135","6","1",4,"15",49,-1.59497110135603,0.772222309937541,"F","F<0","dead"
"136","6","1",5,"15",50,-1.75079944368249,0.703993708732937,"F","F<0","dead"
"137","6","1",6,"15",50,-1.69272232867867,0.829611206071466,"F","F<0","dead"
"138","6","1",7,"15",50,-1.97698061166224,0.642125625647312,"F","F<0","dead"
"139","6","1",8,"15",50,-1.68842750943359,0.751555603862084,"F","F<0","dead"
"140","6","1",9,"15",50,-1.79723888003675,0.522594879142303,"F","F<0","dead"
"141","6","1",10,"15",50,-1.35483648943045,0.623226782760756,"F","F<0","dead"
"142","6","1",11,"15",50,-0.464584776190516,0.619587163105303,"F","F<0","dead"
"143","6","1",12,"15",50,-0.85699088324355,0.571299341100548,"F","F<0","dead"
"144","6","1",13,"15",50,-1.50151809977469,0.588326768539837,"F","F<0","dead"
"145","6","2",1,"15",50,-2.00476523178997,0.331837958642723,"F","F<0","dead"
"146","6","2",2,"15",50,-1.74110538031563,0.434682978810849,"F","F<0","dead"
"147","6","2",3,"15",50,-1.25756704769231,0.993712342421787,"F","F<0","dead"
"148","6","2",4,"15",50,-1.7775811576585,0.472258779455428,"F","F<0","dead"
"149","6","2",5,"15",50,-1.54976097456235,0.664412467185578,"F","F<0","dead"
